Year,PhiIn,PhiOut,VieIn,VieOut
1990,29469.1513,11311.38,33595.18165,10635.24
1991,28168.25213,11446.75,33210.52945,10855.21
1992,28048.5887,11746.6,32673.3821,11154.82
1993,26610.32954,11769.58,32189.42073,11407.13
1994,25835.4167,11909.94,31500.74543,11736.37
1995,25599.15098,12310.74,30848.22456,12038.83
1996,25000.10439,12558.01,30225.88759,12456.92
1997,24913.83927,13000.48,29844.38126,12893.41
1998,24883.96326,13375.36,29513.17708,13456.23
1999,25097.28192,13714.29,29430.78796,14064.83
2000,25676.01743,14221.93,29539.65206,14663.06
2001,26740.45729,14930,29384.36383,15570.95
2002,27672.6466,15485.04,29231.4519,16356.56
2003,28694.61624,15884.78,28904.95218,17288.27
2004,30061.11252,16421.96,28770.30129,18094.41
2005,31906.84217,17124.96,28130.05495,18975.7
2006,33472.95888,17835.65,27618.65539,20052.49
2007,34860.35902,18473.23,26751.38288,21259.62
2008,36783.80853,19435.27,26069.05961,22372.28
2009,38765.89959,20313.1,25402.52216,23447.26
2010,40094.0478,21028.55,24310.88284,24595.28
2011,41522.34886,21273.6,23683.83174,25482.83
2012,41772.43564,22372.07,22980.68621,26288.69
2013,42347.97254,22215.84,22258.51688,27516.07
2014,42736.90032,22206.59,21956.85479,28077.13
2015,43207.61197,22722.93,21773.23976,28207.42
2016,42603.98461,22242.41,21783.12759,28431.96
2017,42000.06841,22638.53,21274.04751,29549.67
