Year,WorkHr,GDP,UnEmp
2000,2393.6313,2562.104865,2.33766
2001,2246.991,2692.125097,2.53165
2002,2230.7598,2833.770963,2.22772
2003,2254.8853,3000.311156,2.17391
2004,2207.4919,3196.297215,2.11765
2005,2191.7068,3405.679195,4.73296
2006,2240.8411,3609.683037,4.88424
2007,2241.1814,3831.243217,4.13978
2008,2336.6824,4009.959321,3.62748
2009,2405.3545,4185.019792,2.60939
2010,2300.02,4408.168612,2.66792
2011,2331.2832,4632.765965,2.03578
2012,2310.541,4821.137231,1.77658
2013,2267.4883,5024.438902,1.70906
2014,2150.6357,5264.8281,1.8622
2015,2169.5916,5554.858056,2.11189
2016,2169.5916,5837.628704,3.02
2017,2169.5916,6171.884192,2.0073
